title,book_cat,author,year,rating,total_ratings,description,book_link,review_link
D3 Tips and Tricks,Data Visualization,Malcolm Maclean,2015,3.9,8,D3 Tips and Tricks is a book written to help those who may be unfamiliar with JavaScript or web page creation get started turning information into visualization.,https://leanpub.com/D3-Tips-and-Tricks,http://www.amazon.com/gp/product/B00IZ6P1KU/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00IZ6P1KU&linkCode=as2&tag=learnds-20&linkId=VPBOM7F4YWSAQ7GQ
Interactive Data Visualization for the Web,Data Visualization,Scott Murray,2013,4.1,424,"Create and publish your own interactive data visualization projects on the Web—even if you have little or no experience with data visualization or web development. It’s easy and fun with this practical, hands-on introduction.",http://chimera.labs.oreilly.com/books/1230000000345/index.html,http://www.amazon.com/gp/product/1449339735/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1449339735&linkCode=as2&tag=learnds-20&linkId=U6KX5XGSIKX3T74L
Data-Intensive Text Processing with MapReduce,Distributed Computing Tools,Jimmy Lin & Chris Dyer,2010,4.1,27,MapReduce [45] is a programming model for expressing distributed computations on massive amounts of data and an execution framework for large-scale data processing on clusters of commodity servers. It was originally developed by Google...,https://lintool.github.io/MapReduceAlgorithms/MapReduce-book-final.pdf,http://www.amazon.com/gp/product/1608453421/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1608453421&linkCode=as2&tag=learnds-20&linkId=DAMKDNZVAE4Y3VCE
Hadoop Illuminated,Distributed Computing Tools,Mark Kerzner & Sujee Maniyam,2014,0.0,0,"'Hadoop illuminated' is the open source book about Apache Hadoop™. It aims to make Hadoop knowledge accessible to a wider audience, not just to the highly technical.",http://hadoopilluminated.com/index.html,None
Hadoop Tutorial as a PDF,Distributed Computing Tools,Tutorials Point,,0.0,0,Intro to Hadoop - An open-source framework for storing and processing big data in a distributed environment across clusters of computers using simple programming models. It is designed to scale up from single servers to thousands of machines.,http://www.tutorialspoint.com/hadoop/hadoop_tutorial.pdf,None
Programming Pig,Distributed Computing Tools,Alan Gates,2011,3.6,53,"This guide is an ideal learning tool and reference for Apache Pig, the open source engine for executing parallel data flows on Hadoop.",http://chimera.labs.oreilly.com/books/1234000001811/index.html,https://www.amazon.com/Programming-Pig-Alan-Gates/dp/1449302645/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=dae81bd81a038bff987a95796d426b55&language=en_US
Building Data Science Teams,Forming Data Science Teams,DJ Patil,,3.6,320,"In this in-depth report, data scientist DJ Patil explains the skills,perspectives, tools and processes that position data science teams for success.",http://www.oreilly.com/data/free/building-data-science-teams.csp,https://www.amazon.com/gp/product/B005O4U3ZE/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B005O4U3ZE&linkCode=as2&tag=learnds-20&linkId=SCRZDHGKPJBOV6HI
Data Driven: Creating a Data Culture,Forming Data Science Teams,"DJ Patil,‎ Hilary Mason",,3.8,354,"In this O’Reilly report, DJ Patil and Hilary Mason outline the steps you need to take if your company is to be truly data-driven—including the questions you should ask and the methods you should adopt.",http://www.amazon.com/gp/product/B00SXHFTAS/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=B00SXHFTAS&linkCode=as2&tag=learnds-20&linkId=AFUCGXSSAFL47UA3,None
The Data Science Handbook,Interviews with Data Scientists,"by Carl Shan (Author),‎ William Chen (Author),‎ Henry Wang (Author),‎ Max Song (Author)",,4.0,37,"The Data Science Handbook is a compilation of in-depth interviews with 25 remarkable data scientists, where they share their insights, stories, and advice.",http://www.thedatasciencehandbook.com/get-the-book,https://www.amazon.com/gp/product/0692434879/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=b7d8ec4765df0b68c8a6a1f86872298e&language=en_US
A Byte of Python,Learning Languages,Swaroop C H,2003,4.1,23,"‘A Byte of Python’ is a free book on programming using the Python language. It serves as a tutorial or guide to the Python language for a beginner audience. If all you know about computers is how to save text files, then this is the book for you.",http://files.swaroopch.com/python/byte_of_python.pdf,https://www.amazon.com/A-Byte-Python-Swaroop-C-ebook/dp/B00FJ7S2JU/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=98e0c7e2ac82f24fb0c089f8d325ab0d&language=en_US
Advanced R,Learning Languages,Hadley Wickham,2014,4.6,223,"Useful tools and techniques for attacking many types of R programming problems, helping you avoid mistakes and dead ends. With ten+ years of experience programming in R, the author illustrates the elegance, beauty, and flexibility at the heart of R.",http://adv-r.had.co.nz/,http://www.amazon.com/gp/product/1466586966/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1466586966&linkCode=as2&tag=learnds-20&linkId=233DWC3GAPKAHECY
A Little Book of R for Time Series,Learning Languages,Avril Coghlan,2015,0.0,0,This is a simple introduction to time series analysis using the R statistics software.,https://a-little-book-of-r-for-time-series.readthedocs.org/en/latest/,None
Automate the Boring Stuff with Python: Practical Programming for Total Beginners,Learning Languages,Al Sweigart,2015,4.3,1890,"Practical programming for total beginners. In Automate the Boring Stuff with Python, you'll learn how to use Python to write programs that do in minutes what would take you hours to do by hand-no prior programming experience required.",https://automatetheboringstuff.com/,http://www.amazon.com/gp/product/1593275994/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1593275994&linkCode=as2&tag=learnds-20&linkId=BDJSRUSJYCH2SQRK
Dive Into Python 3,Learning Languages,Mark Pilgrim,2009,3.8,260,"This is a hands-on guide to Python 3 and its differences from Python 2. Each chapter starts with a real, complete code sample, picks it apart and explains the pieces, and then puts it all back together in a summary at the end.",http://www.diveintopython3.net/,http://www.amazon.com/gp/product/1430224150/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=1430224150&linkCode=as2&tag=learnds-20&linkId=QSTPOKTYNWYG6CCU
Ecological Models and Data in R,Learning Languages,Benjamin M. Bolker,2008,4.2,38,"The first truly practical introduction to modern statistical methods for ecology. In step-by-step detail, the book teaches ecology graduate students and researchers everything they need to know to analyze their own data using the R language.",http://ms.mcmaster.ca/~bolker/emdbook/index.html,https://www.amazon.com/Ecological-Models-Data-Benjamin-Bolker/dp/0691125228/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=2117a8aa69a5cd7b38854caf45085ac1&language=en_US
Invent with Python,Learning Languages,Albert Sweigart,,4.1,130,"""Invent Your Own Computer Games with Python"" teaches you computer programming in the Python programming language. Each chapter gives you the complete source code for a new game and teaches the programming concepts from these examples.",http://inventwithpython.com/invent4thed/,https://www.amazon.com/gp/product/1593277954/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=7b2bbd47037ca6eb830495c83ab12910&language=en_US
Learning Statistics with R,Learning Languages,Daniel Navarro,2015,0.0,0,"I (Dani) started teaching the introductory statistics class for psychology students offered at the University of Adelaide, using the R statistical package as the primary tool. These are my own notes for the class which were trans-coded to book form.",http://compcogscisydney.org/learning-statistics-with-r/,None
Learning with Python 3,Learning Languages,"Peter Wentworth, Jeffrey Elkner, Allen B. Downey, & Chris Meyers",2012,4.1,14,Introduction to computer science using the Python programming language. It covers the basics of computer programming in the first part while later chapters cover basic algorithms and data structures.,http://openbookproject.net/thinkcs/python/english3e/,https://www.amazon.com/Learning-PYTHON-Think-Computer-Scientist/dp/1441419071/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=dd3172650acf0880dec94548ea6be2f5&language=en_US
"Learn Python, Break Python",Learning Languages,Scott Grant,2014,4.0,9,"This is a hands-on introduction to the Python programming language, written for people who have no experience with programming whatsoever. After all, everybody has to start somewhere.",http://learnpythonbreakpython.com/,https://www.amazon.com/Learn-Python-Break-Beginners-Programming-ebook/dp/B00IGF3E36/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=efbb1ab989a9e4fa6d5d8eeb637f34d1&language=en_US
Learn Python the Hard Way,Learning Languages,Zed A. Shaw,2013,3.9,136,This is a free sample of Learn Python 2 The Hard Way with 8 exercises and Appendix A available for you to review.,http://learnpythonthehardway.org/book/,http://www.amazon.com/gp/product/0321884914/ref=as_li_tl?ie=UTF8&camp=1789&creative=9325&creativeASIN=0321884914&linkCode=as2&tag=learnds-20&linkId=DRCMMO4TT64AIMEG
Practical Regression and Anova using R,Learning Languages,Julian J. Faraway,2002,0.0,0,"This book is NOT introductory. The emphasis of this text is on the practice of regression and analysis of variance. The objective is to learn what methods are available and more importantly, when they should be applied.",https://cran.r-project.org/doc/contrib/Faraway-PRA.pdf,None
Python for Everybody,Learning Languages,Dr. Charles R Severance,2016,4.3,449,This book is designed to introduce students to programming and computational thinking through the lens of exploring data. You can think of Python as your tool to solve problems that are far beyond the capability of a spreadsheet.,http://do1.dr-chuck.com/pythonlearn/EN_us/pythonlearn.pdf,https://www.amazon.com/Python-Everybody-Exploring-Data-ebook/dp/B01IA5VIFM/ref=as_li_ss_tl?ie=UTF8&qid=1468500870&sr=8-2&keywords=python+for+everybody&linkCode=ll1&tag=learnds-20&linkId=7f3975d961480d
Python for You and Me,Learning Languages,Kushal Das,2015,0.0,0,"This is a simple book to learn the Python programming language, it is for the programmers who are new to Python.",http://pymbook.readthedocs.org/en/latest/,None
Python Practice Book,Learning Languages,Anand Chitipothu,2014,0.0,0,This book is prepared from the training notes of Anand Chitipothu.,http://anandology.com/python-practice-book/,None
Python Programming,Learning Languages,Wikibooks,2015,0.0,0,"This book describes Python, an open-source general-purpose interpreted programming language available for a broad range of operating systems. This book describes primarily version 2, but does at times reference changes in version 3.",https://en.wikibooks.org/wiki/Python_Programming,None
R by Example,Learning Languages,Ajay Shah,2005,0.0,0,None,http://www.mayin.org/ajayshah/KB/R/index.html,None
R Programming,Learning Languages,Wikibooks,2014,0.0,0,"The aim of this Wikibook is to be the place where anyone can share his or her knowledge and tricks on R. It is supposed to be organized by task but not by discipline. We try to make a cross-disciplinary book, i.e. a book that can be used by all.",https://en.wikibooks.org/wiki/R_Programming,None
R Programming for Data Science,Learning Languages,Roger D. Peng,,0.0,0,"This book is about the fundamentals of R programming. You will get started with the basics of the language, learn how to manipulate datasets, how to write functions, and how to debug and optimize code.",https://leanpub.com/rprogramming,None
Spatial Epidemiology Notes: Applications and Vignettes in R,Learning Languages,Charles DiMaggio,2014,0.0,0,"My intent is to present a relatively brief, non-jargony overview of how practicing epidemiologists can apply some of the extremely powerful spatial analytic tools that are easily available to them.",http://www.columbia.edu/~cjd11/charles_dimaggio/DIRE/resources/spatialEpiBook.pdf,None
The R Inferno,Learning Languages,Patrick Burns,2011,4.0,7,"An essential guide to the trouble spots and oddities of R. In spite of the quirks exposed here, R is the best computing environment for most data analysis tasks.",http://www.burns-stat.com/pages/Tutor/R_inferno.pdf,https://www.amazon.com/The-R-Inferno-Patrick-Burns/dp/1471046524/ref=as_li_ss_tl?ie=UTF8&linkCode=ll1&tag=learnds-20&linkId=2fe53762f42c68b1efd911cdffd1c53c&language=en_US
The R Manuals,Learning Languages,R Development Core Team,,0.0,0,The R Manuals.,https://cran.r-project.org/manuals.html,None
Think Python 2nd Edition,Learning Languages,Allen Downey,2015,4.1,75,"This hands-on guide takes you through Python a step at a time, beginning with basic programming concepts before moving on to functions, recursion, data structures, and object-oriented design. Updated to Python 3.",http://greenteapress.com/wp/think-python-2e/,http://amzn.to/2qeqvpE
